Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EBITDA,EBITDA FQ-1,EBITDA FQ-2,EBITDA FQ-3,EBITDA FQ-4,EBITDA FQ-5,EBITDA FQ-6,EBITDA FQ-7,EBITDA FQ-8,EBITDA FQ-9,EBITDA FQ-10,EBITDA FQ-11,EBITDA FQ-12
3331,Vinda International Holdings Limited,Consumer Staples,Household Products,Household & Personal Products,3.127 B,2022,256.9 M,40.797 M,86.945 M,87.096 M,85.455 M,85.585 M,114.2 M,114.1 M,104.4 M,104.4 M,114.2 M,114.2 M,91.955 M
817,China Jinmao Holdings Group Limited,Real Estate,Real Estate Management & Development,Real Estate,2.697 B,2022,1.492 B,246.6 M,540.2 M,532.4 M,244.3 M,240.7 M,322.8 M,310.4 M,135.2 M,134.8 M,388.9 M,378.9 M,273 M
1836,Stella International Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,811.4 M,2022,185.9 M,47.275 M,45.654 M,45.654 M,51.346 M,51.346 M,28.962 M,28.962 M,18.276 M,18.276 M,8.795 M,8.795 M,39.747 M
867,China Medical System Holdings Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",3.811 B,2022,545.4 M,128.9 M,143.8 M,152 M,127.4 M,125.5 M,134.6 M,132.6 M,116.6 M,112.1 M,101.8 M,101.5 M,88.161 M
1029,IRC Limited,Materials,Metals & Mining,Materials,112.9 M,2022,90.815 M,24.904 M,20.503 M,20.503 M,61.454 M,61.454 M,20.532 M,20.532 M,15.033 M,15.033 M,5.343 M,5.343 M,7.897 M
1717,Ausnutria Dairy Corporation Ltd,Consumer Staples,Food Products,"Food, Beverage & Tobacco",885.2 M,2022,151 M,23.967 M,54.904 M,54.106 M,52.654 M,65.059 M,68.091 M,26.952 M,61.31 M,50.873 M,63.741 M,44.603 M,47.462 M
2779,China Xinhua Education Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,178.3 M,2022,58.339 M,16.585 M,14.207 M,14 M,18.577 M,18.307 M,14.739 M,14.17 M,12.335 M,12.305 M,9.84 M,9.588 M,11.761 M
2233,West China Cement Limited,Materials,Construction Materials,Materials,651.3 M,2022,415 M,118.2 M,100.9 M,99.429 M,110.1 M,108.5 M,107.6 M,103.5 M,82.779 M,82.58 M,133.8 M,130.4 M,68.638 M
966,China Taiping Insurance Holdings Company Limited,Financials,Insurance,Insurance,3.947 B,2022,1.207 B,292.7 M,313.3 M,313.8 M,635.9 M,635.1 M,533.2 M,533.3 M,711.1 M,710.9 M,319.9 M,318.1 M,701.9 M
268,Kingdee International Software Group Company Limited,Information Technology,Software,Software & Services,6.045 B,2022,-78.481 M,-3.715 M,-36.448 M,-38.515 M,-2.863 M,-2.821 M,-31.019 M,-30.567 M,-6.547 M,-6.294 M,-19.375 M,-19.329 M,13.459 M
874,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,6.21 B,2022,648.9 M,112.8 M,174.7 M,342.5 M,10.331 M,163.3 M,189.1 M,308.9 M,-47.266 M,187.5 M,118.6 M,226.9 M,-42.164 M
