Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Quick-Ratio,Quick-Ratio FQ-1,Quick-Ratio FQ-2,Quick-Ratio FQ-3,Quick-Ratio FQ-4,Quick-Ratio FQ-5,Quick-Ratio FQ-6,Quick-Ratio FQ-7,Quick-Ratio FQ-8,Quick-Ratio FQ-9,Quick-Ratio FQ-10,Quick-Ratio FQ-11,Quick-Ratio FQ-12
815,China Silver Group Limited,Materials,Metals & Mining,Materials,103.3 M,2022,0.8x,0.8x,0.6x,0.6x,0.1x,0.1x,1.5x,1.5x,1.7x,1.7x,2.0x,2.0x,1.5x
1184,S.A.S. Dragon Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,274.3 M,2022,0.8x,0.8x,0.8x,0.8x,0.9x,0.9x,0.8x,0.8x,0.7x,0.7x,0.9x,0.9x,0.9x
554,Hans Energy Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,128.5 M,2022,1.4x,1.4x,1.1x,1.1x,1.4x,1.4x,2.0x,2.0x,1.1x,1.1x,1.5x,1.5x,3.6x
560,Chu Kong Shipping Enterprises (Group) Company Limited,Industrials,Marine,Transportation,138.5 M,2022,1.8x,1.8x,1.5x,1.5x,1.6x,1.6x,1.6x,1.6x,1.8x,1.8x,1.7x,1.7x,2.3x
1543,"Guangdong Join-Share Financing Guarantee Investment Co., Ltd.",Financials,Consumer Finance,Diversified Financials,355.9 M,2022,5.8x,5.8x,6.3x,6.3x,6.6x,6.6x,6.2x,6.2x,5.2x,5.2x,6.2x,6.2x,4.7x
1561,Pan Asia Data Holdings Inc.,Materials,Chemicals,Materials,125.2 M,2022,0.8x,0.8x,0.8x,0.8x,0.4x,0.4x,0.4x,0.4x,0.9x,0.9x,0.7x,0.7x,3.5x
1180,Paradise Entertainment Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,119.3 M,2022,0.5x,0.5x,0.9x,0.9x,1.1x,1.1x,1.4x,1.4x,1.6x,1.6x,2.0x,2.0x,2.2x
1823,Huayu Expressway Group Limited,Industrials,Construction & Engineering,Capital Goods,100.4 M,2022,1.2x,1.2x,1.2x,1.2x,1.0x,1.0x,1.0x,1.0x,1.0x,1.0x,1.1x,1.1x,1.1x
626,Public Financial Holdings Limited,Financials,Banks,Banks,309.1 M,2022,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x
3737,Zhongzhi Pharmaceutical Holdings Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",113.3 M,2022,1.0x,1.0x,1.4x,1.4x,1.1x,1.1x,1.2x,1.2x,1.2x,1.2x,1.4x,1.4x,1.5x
563,Shanghai Industrial Urban Development Group Limited,Real Estate,Real Estate Management & Development,Real Estate,317.4 M,2022,0.2x,0.2x,0.3x,0.3x,0.4x,0.4x,0.3x,0.3x,0.4x,0.4x,0.4x,0.4x,0.4x
